"id","crime_type_id","latitude","longitude","city","address","link","occurred_at"
9601254,9,39.093832,-76.580462,"SEVERNA PARK","400 JUMPERS HOLE RD","http://spotcrime.com/crimealert/9601254-d308b891e2ccd21d6946d618c1acef14","Fri Apr 02 02:39:00 UTC 2010"
9601256,9,39.2341729,-76.6118397,"BROOKLYN PARK","4000 RITCHIE HWY S","http://spotcrime.com/crimealert/9601256-eac542f31b057b0dba5617666824a3dc","Fri Apr 02 03:27:00 UTC 2010"
9601260,4,39.1218083,-76.5134444,"PASADENA","4300 MOUNTAIN RD","http://spotcrime.com/crimealert/9601260-c7ee92037a98c8753295b4f9de3139ed","Fri Apr 02 07:30:00 UTC 2010"
9601262,4,39.2077759,-76.6337206,"Anne Arundel County","SUNNYFIELD LN/MANOR HOUSE LN","http://spotcrime.com/crimealert/9601262-9173f2f3a8a12d6af2beba7887db901b","Fri Apr 02 07:37:00 UTC 2010"
9601265,4,39.080289,-76.549261,"SEVERNA PARK","500 RITCHIE HWY S","http://spotcrime.com/crimealert/9601265-5e48665f3369f677dde9113ec882ce1a","Fri Apr 02 08:11:00 UTC 2010"
9601264,7,39.1082857,-76.6927735,"ODENTON","8200 TELEGRAPH RD","http://spotcrime.com/crimealert/9601264-7e727de082b19c0d9447471064b84f48","Fri Apr 02 07:45:00 UTC 2010"
9601267,7,39.1060034,-76.8151112,"LAUREL","3500 OAK RD","http://spotcrime.com/crimealert/9601267-2e25a9e8342058147b492c4ce9570523","Fri Apr 02 08:22:00 UTC 2010"
9601269,8,39.1550826,-76.631685,"Anne Arundel County","300 PERSHING AVE","http://spotcrime.com/crimealert/9601269-cbdc98e797d3ac5e221469eabb364522","Fri Apr 02 08:28:00 UTC 2010"
9601270,9,39.061969,-76.5325639,"SEVERNA PARK","900 RITCHIE HWY N","http://spotcrime.com/crimealert/9601270-2212979cdc46451d0b71c8ca2f54b419","Fri Apr 02 08:43:00 UTC 2010"
9601275,7,39.125181,-76.525324,"PASADENA","3700 MOUNTAIN RD #1","http://spotcrime.com/crimealert/9601275-6d28d45ecd46c20a165c29ec498eae95","Fri Apr 02 11:05:00 UTC 2010"
9601277,9,39.1560617,-76.7155416,"Anne Arundel County","7500 TEAGUE RD","http://spotcrime.com/crimealert/9601277-7c96ef2af4137ab0f43a0c6db3285141","Fri Apr 02 11:37:00 UTC 2010"
9601281,9,39.1937329,-76.6104589,"Anne Arundel County","6700 CHESAPEAKE CENTER DR","http://spotcrime.com/crimealert/9601281-fda7c86120a9ae542324111a8d715339","Fri Apr 02 11:53:00 UTC 2010"
9601282,9,39.1449133,-76.6068867,"GLEN BURNIE","6300 RITCHIE HWY N","http://spotcrime.com/crimealert/9601282-79ae475adef75569fcfbcdbf54d0b18f","Fri Apr 02 12:08:00 UTC 2010"
9601284,7,39.139479,-76.6294487,"Anne Arundel County","300 MOUNTAIN RIDGE CT","http://spotcrime.com/crimealert/9601284-5bfe45012a8ba107385130f9bbfef226","Fri Apr 02 12:33:00 UTC 2010"
9601286,7,39.1867391,-76.6422506,"Anne Arundel County","0 FERNDALE AVE","http://spotcrime.com/crimealert/9601286-1326ddc59a8e693d6e2ab533f26498c3","Fri Apr 02 12:38:00 UTC 2010"
